English|Sanskrit
And so we begin our first story|अथ अतः प्रथमा कथा आरभते।
The name of the story is Loss of friends|कथायाः नाम मित्र-भेदः इति।
In brief the story can be retold in two sentences|सङ्क्षिपते वाक्यद्वयेन कथ्यताम्।
In the forest there was a great friendship between a lion and a bull.|वने सिंहस्य वृषस्य मध्ये महान् स्नेहः आसीत्।
Due to malice and out of greed, a jackal destroyed that friendship.|पिशुनतया अतिलोभ-कारणेन च कश्चित् जम्बुकः तं स्नेहं विनष्टवान्।
The story happened as follows.|कथा एवमेव जाता।
In the southern part, in a certain country was a city called Mahilaropyam.|दक्षिणात्ये कस्मिञ्चित् जनपदे महिलारोप्यं नाम नगरम् आसीत्।
There lived a king named Amarashakti (Immortal-Power).|तत्र अमरशक्तिः नाम राजा आसीत्।
He was familiar with all Nitishastras that showed how to live life well.|सः राजा सकल-नीति-शास्त्रेषु पारङ्गतः आसीत्।
His feet were made dazzling.|तस्य चरणौ प्रदीप्तौ।
Because mighty kings had placed their crowns at his feet in submission.|यतोहि आत्म-समर्पणे महाबलिनः राजानः स्वीय-मुकुटानि स्थापितवन्तः अमरशक्तेः चरणयोः।
He was like a tree.|सः अमरशक्तिः राजा द्रुम-सदृशः आसीत्।
A tree which could fulfill the desires of the people.|यः द्रुमः लोकस्य इच्छाः पूरयितुम् शक्नोति।
